# Pin Out For ECP5U-25,,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,,
,,,,,,,,,,
PAD,Bank,Pin/Ball Function,,Dual Function,,High Speed,,DQS,DESC,CABGA256
255,2,PR11D,,,/,-,/,RDQ8,PR11D/-/RDQ8,E16
257,2,PR11B,,,/,HS-,/,RDQ8,PR11B/HS-/RDQ8,G13
258,2,PR11C,,,/,+,/,RDQ8,PR11C/+/RDQ8,F15
260,2,PR11A,,,/,HS+,/,RDQ8,PR11A/HS+/RDQ8,G12
261,2,PR8D,,,/,-,/,RDQ8,PR8D/-/RDQ8,F12
263,2,PR8B,,,/,HS-,/,RDQSN8,PR8B/HS-/RDQSN8,E15
264,2,PR8C,,,/,+,/,RDQ8,PR8C/+/RDQ8,F13
266,2,PR8A,,,/,HS+,/,RDQS8,PR8A/HS+/RDQS8,D16
267,2,PR5D,,,/,-,/,RDQ8,PR5D/-/RDQ8,F14
269,2,PR5B,,,/,HS-,/,RDQ8,PR5B/HS-/RDQ8,C15
270,2,PR5C,,,/,+,/,RDQ8,PR5C/+/RDQ8,E14
272,2,PR5A,,,/,HS+,/,RDQ8,PR5A/HS+/RDQ8,C16
273,2,PR2D,,,/,-,/,RDQ8,PR2D/-/RDQ8,D14
275,2,PR2C,,,/,+,/,RDQ8,PR2C/+/RDQ8,C14
277,2,PR2B,/,S0_IN,/,HS-,/,RDQ8,PR2B/S0_IN/HS-/RDQ8,B15
278,2,PR2A,,,/,HS+,/,RDQ8,PR2A/HS+/RDQ8,B16
283,1,PT67B,,,/,-,,,PT67B/-,A15
285,1,PT65B,,,/,-,,,PT65B/-,A14
286,1,PT67A,,,/,+,,,PT67A/+,B14
288,1,PT65A,,,/,+,,,PT65A/+,A13
289,1,PT62B,,,/,-,,,PT62B/-,E13
291,1,PT60B,,,/,-,,,PT60B/-,C13
292,1,PT62A,,,/,+,,,PT62A/+,D13
294,1,PT60A,,,/,+,,,PT60A/+,B13
295,1,PT58B,,,/,-,,,PT58B/-,E12
297,1,PT56B,,,/,-,,,PT56B/-,C12
298,1,PT58A,,,/,+,,,PT58A/+,D12
300,1,PT56A,,,/,+,,,PT56A/+,B12
301,1,PT53B,,,/,-,,,PT53B/-,A12
